,File_List,Header,Text
63,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_9.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_10.png']",ACCOUNTANTS-PUBLIG-CONTD,Ferrara R P & Co 1845 Smith St (N Prov) Rm
64,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_11.png'],ACCOUNTANTS-PUBLIG-CONTD,Gereboff & Co 111 Westminster St Rm 620
65,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_12.png'],ACCOUNTANTS-PUBLIG-CONTD,H & R Block 490 Elmwood Av
66,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_13.png'],ACCOUNTANTS-PUBLIG-CONTD,H & R Block Inc 1075 Chalkstone Av
67,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_14.png'],ACCOUNTANTS-PUBLIG-CONTD,Hagopian James 410 Hope St
68,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_15.png'],ACCOUNTANTS-PUBLIG-CONTD,Izzo Vincent T 1038 Chailkstone Av
69,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_16.png'],ACCOUNTANTS-PUBLIG-CONTD,Jacobs Gerald 428 Smith St Rm 7
70,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_17.png'],ACCOUNTANTS-PUBLIG-CONTD,Jarcho Myer C 501 Angell St
71,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_18.png'],ACCOUNTANTS-PUBLIG-CONTD,K-P Audit Co 111 Westminster St Rm 417
72,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_19.png'],ACCOUNTANTS-PUBLIG-CONTD,Kanter Herbert 501 Angell St
73,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_20.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_22.png']",ACCOUNTANTS-PUBLIG-CONTD,"Kaufman Miller & Company 300 Old Colony Bldg, 347 Main St (Pawtucket, R I; 02862), Tel 725-8300"
74,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_23.png'],ACCOUNTANTS-PUBLIG-CONTD,Kenyon John T 74 Vassar Av
75,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_24.png'],ACCOUNTANTS-PUBLIG-CONTD,Kilberg Pierce & Co 111 Wayland Av
76,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_25.png'],ACCOUNTANTS-PUBLIG-CONTD,Labush Bernard 501 Angell St
77,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_27.png']",ACCOUNTANTS-PUBLIG-CONTD,Latina Ralph A 1243 Mineral Spring Av(N Prov)
78,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_28.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_29.png']",ACCOUNTANTS-PUBLIG-CONTD,Laventhol & Horwath 40 Westminster St Rm 1120
79,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_30.png'],ACCOUNTANTS-PUBLIG-CONTD,M A S Associates 58 Weybosset St Rm 703
80,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_31.png'],ACCOUNTANTS-PUBLIG-CONTD,Mardo Anthony & Co 438 Broadway
81,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_32.png'],ACCOUNTANTS-PUBLIG-CONTD,Masso Thos J 1845 Smith St (N Prbv) Rm 2
82,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_33.png'],ACCOUNTANTS-PUBLIG-CONTD,Mastroianni Anthony J 15 Lewis St (N Prov)
83,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_34.png'],ACCOUNTANTS-PUBLIG-CONTD,Monacelli Ovid L 428 Smith St Rm 1
84,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_35.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_36.png']",ACCOUNTANTS-PUBLIG-CONTD,Murphy Raymond F & Co 111 Westminster St Rm 1700
85,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_37.png'],ACCOUNTANTS-PUBLIG-CONTD,Norberg John H 154 Francis St 2d Fl
86,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_38.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_39.png']",ACCOUNTANTS-PUBLIG-CONTD,Orlando & Turcotte 15 Westminster St Rm 910
87,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_40.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_41.png']",ACCOUNTANTS-PUBLIG-CONTD,Over Petrone & Co 15 Westminster St Rm 1005
88,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_42.png'],ACCOUNTANTS-PUBLIG-CONTD,Pascarella Steph E 107 Bolton Av
89,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_43.png'],ACCOUNTANTS-PUBLIG-CONTD,Pascarella Steph E 2d 107 Bolton Av
90,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_45.png']",ACCOUNTANTS-PUBLIG-CONTD,Pascarella & Trench 15 Westminster St Rm 1140
91,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_46.png'],ACCOUNTANTS-PUBLIG-CONTD,Paterra J J & Co 414 Broadway
92,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_47.png'],ACCOUNTANTS-PUBLIG-CONTD,Pelich Robt 76 Westminster St Rm 1105
93,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_48.png'],ACCOUNTANTS-PUBLIG-CONTD,Phillips Milton 1 Jackson Walkway Suite 3
